11 loci	EST	CAT	HDL	KEN	TAZ	ARR	SIN	MON	ARG	GER	BUC	TUN	PUG	LAZ	SIC	SAR	COR
EST	0																
CAT	0.0692	0															
HDL	0.0271	0.0313	0														
KEN	0.0691	0.0755	0.0424	0													
TAZ	0.046	0.0479	0.0285	0.0705	0												
ARR	0.0095	0.0534	0.0341	0.0481	0.0517	0											
SIN	0.0336	0.0579	0.0474	0.1053	0.0636	0.0256	0										
MON	0.0099	0.075	0.0396	0.0924	0.0571	0.017	0.0259	0									
ARG	0.0792	0.0663	0.0562	0.0957	0.0365	0.0606	0.0647	0.0799	0								
GER	-0.0019	0.0614	0.0239	0.0614	0.0322	0.0052	0.025	0.0116	0.0672	0							
BUC	0.0036	0.0672	0.0353	0.085	0.0421	0.0104	0.013	0.0181	0.0725	-0.0011	0						
TUN	0.0699	0.0617	0.0543	0.0817	0.0396	0.058	0.0662	0.076	0.0326	0.0592	0.0793	0					
PUG	0.0614	0.0861	0.068	0.079	0.0408	0.0498	0.0769	0.0636	0.0493	0.0492	0.0585	0.0484	0				
LAZ	0.2243	0.2099	0.1977	0.2209	0.1516	0.1953	0.2308	0.2065	0.1353	0.2108	0.2269	0.163	0.1598	0			
SIC	0.1868	0.1616	0.1608	0.1788	0.126	0.1508	0.1936	0.1708	0.1086	0.1722	0.1849	0.1205	0.1277	0.0397	0		
SAR	0.2307	0.2019	0.2014	0.2096	0.1575	0.2037	0.2399	0.213	0.137	0.2219	0.2358	0.164	0.1675	0.0165	0.0235	0	
COR	0.1615	0.1726	0.1489	0.1548	0.1627	0.1162	0.1828	0.1642	0.1356	0.1393	0.1546	0.1543	0.109	0.1872	0.1637	0.2131	0
